inventory_size,trial,purchase,delta_n
7,12,walnuts,2
7,13,bacon,4
7,14,pecans,3
7,15,fresh ground black pepper,0
7,16,all-purpose flour,9
7,17,cheddar cheese,2
7,18,milk,17
7,19,carrot,7
7,20,egg,53
7,21,vanilla,6
7,22,vanilla,0
7,23,powdered sugar,3
7,24,celery,2
7,25,lemon juice,12
7,26,dijon mustard,1
7,27,red onion,0
7,28,parmesan cheese,3
7,29,extra virgin olive oil,1
7,30,extra virgin olive oil,0
7,31,kosher salt,2
7,32,garlic clove,1
7,33,cinnamon,1
7,34,fresh parsley,1
7,35,garlic powder,2
7,36,garlic cloves,1
7,37,egg,57
7,38,paprika,0
7,39,granulated sugar,6
7,40,chili powder,1
7,41,pepper,3
7,42,chili powder,4
7,43,lemon juice,9
7,44,parmesan cheese,3
7,45,chicken broth,1
7,46,granulated sugar,5
7,47,paprika,0
7,48,extra virgin olive oil,0
7,49,pecans,3
7,50,parsley,0
7,51,chicken broth,1
7,52,bacon,4
7,53,sour cream,5
7,54,lemon juice,13
7,55,pecans,4
7,56,salt and pepper,2
7,57,bacon,5
7,58,nutmeg,0
7,59,extra virgin olive oil,0
7,60,parmesan cheese,3
7,61,dijon mustard,2
7,62,green onion,0
7,63,granulated sugar,5
7,64,walnuts,2
7,65,vanilla extract,6
7,66,fresh parsley,0
7,67,celery,3
7,68,dijon mustard,4
7,69,ground cinnamon,0
7,70,paprika,0
7,71,parmesan cheese,3
7,72,fresh ground black pepper,0
7,73,carrot,3
7,74,cornstarch,6
7,75,parsley,0
7,76,oil,7
7,77,cheddar cheese,3
7,78,green onion,1
7,79,bacon,4
7,80,cheddar cheese,2
7,81,nutmeg,0
7,82,baking soda,2
7,83,bacon,4
7,84,paprika,0
7,85,cheddar cheese,5
7,86,powdered sugar,6
7,87,pepper,6
7,88,ground cumin,0
7,89,powdered sugar,2
7,90,vanilla extract,7
7,91,ground cumin,1
7,92,all-purpose flour,4
7,93,egg,61
7,94,lemon juice,14
7,95,parsley,1
7,96,baking soda,3
7,97,carrot,8
7,98,ground cumin,0
7,99,bacon,5
9,0,vanilla,12
9,1,chicken broth,1
9,2,cream cheese,5
9,3,brown sugar,7
9,4,honey,11
9,5,celery,2
9,6,garlic powder,4
9,7,mayonnaise,2
9,8,garlic clove,1
9,9,unsalted butter,0
9,10,worcestershire sauce,0
9,11,chicken broth,2
9,12,unsalted butter,0
9,13,nutmeg,3
9,14,kosher salt,2
9,15,soy sauce,0
9,16,tomatoes,1
9,17,garlic clove,1
9,18,baking powder,61
9,19,cream cheese,5
9,20,nutmeg,0
9,21,walnuts,3
9,22,kosher salt,3
9,23,carrot,7
9,24,garlic powder,2
9,25,baking soda,7
9,26,all-purpose flour,4
9,27,celery,2
9,28,worcestershire sauce,0
9,29,parmesan cheese,3
9,30,oil,6
9,31,soy sauce,0
9,32,granulated sugar,6
9,33,cream cheese,6
9,34,nutmeg,0
9,35,dijon mustard,2
9,36,extra virgin olive oil,0
9,37,tomatoes,1
9,38,brown sugar,5
9,39,fresh lemon juice,4
9,40,cheddar cheese,3
9,41,ground cumin,1
9,42,garlic clove,1
9,43,fresh ground black pepper,0
9,44,green onion,0
9,45,cheddar cheese,6
9,46,carrot,5
9,47,fresh lemon juice,4
9,48,dijon mustard,1
9,49,cayenne pepper,0
9,50,vanilla extract,13
9,51,cinnamon,5
9,52,worcestershire sauce,0
9,53,vanilla,11
9,54,bacon,5
9,55,cornstarch,7
9,56,powdered sugar,2
9,57,baking soda,4
9,58,walnuts,5
9,59,cayenne pepper,0
9,60,soy sauce,0
9,61,kosher salt,2
9,62,powdered sugar,2
9,63,unsalted butter,0
9,64,tomatoes,2
9,65,paprika,0
9,66,all-purpose flour,11
9,67,honey,12
9,68,pecans,4
9,69,vanilla extract,5
9,70,worcestershire sauce,1
9,71,fresh ground black pepper,0
9,72,green onion,0
9,73,ground cumin,0
9,74,nutmeg,4
9,75,chili powder,2
9,76,paprika,0
9,77,milk,69
9,78,milk,240
9,79,pecans,3
9,80,egg,55
9,81,celery,2
9,82,tomatoes,2
9,83,pecans,5
9,84,worcestershire sauce,0
9,85,mayonnaise,2
9,86,ground cumin,1
9,87,parsley,0
9,88,carrot,3
9,89,worcestershire sauce,1
9,90,fresh ground black pepper,0
9,91,oil,11
9,92,pecans,3
9,93,garlic cloves,2
9,94,mayonnaise,1
9,95,baking powder,35
9,96,tomatoes,4
9,97,salt and pepper,4
9,98,garlic powder,2
9,99,green onion,1
